"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs5215-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,'-,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,"Mapping not available"
rs7330796-<b>T</b>,"1 x 10-14",,0.22,4.43,'-,'-,TBC1D4,"Type 2 diabetes","type II diabetes mellitus",GCST009732,13:75324027
rs870992-<b>G</b>,"2 x 10-8",,0.23,2.79,'-,'-,ITGA1,"Type 2 diabetes","type II diabetes mellitus",GCST009732,5:52897406
rs16993330-<b>A</b>,"1 x 10-7",,0.16,3.52,'-,'-,"LARGE1, LINC01643","Type 2 diabetes","type II diabetes mellitus",GCST009732,22:33947708
rs164368-<b>T</b>,"6 x 10-6","(Genotype model)",0.785,1.12,'-,[0.89-1.40],GABRB2,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,5:161197451
rs7493-<b>C</b>,"5 x 10-6","(Genotype model)",0.177,1.06,'-,[0.74-1.51],PON2,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,7:95405463
rs4526895-<b>C</b>,"2 x 10-6","(Genotype model)",0.414,1.38,'-,[0.93-2.04],FREM2,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,13:38776753
rs194045-<b>G</b>,"6 x 10-6","(Trend model)",0.888,2.13,'-,[1.51-3.02],'-,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,16:29234781
rs8093481-<b>A</b>,"1 x 10-6","(Trend model)",0.656,1.79,'-,[1.16-2.77],PIEZO2,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,18:10695159
rs1133146-<b>A</b>,"5 x 10-6","(Allele model)",0.956,1.52,'-,[1.01-2.29],ZNF665,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,19:53163407
rs871913-<b>A</b>,"8 x 10-6","(Trend model)",0.045,1.86,'-,[0.78-4.44],PPIAP17,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,20:16163700
rs1932064-<b>T</b>,"6 x 10-6","(Dominant model)",0.7,1.62,'-,[1.05-2.51],"CASP3P1, CHORDC1P5","Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,1:70608238
rs12036718-<b>T</b>,"8 x 10-6","(Trend model)",0.103,1.68,'-,[0.95-2.99],LINC02794,"Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,1:48083641
rs7565310-<b>A</b>,"9 x 10-6","(Trend model)",0.38,1.53,'-,[1.27-1.84],"Y_RNA, RNA5SP103","Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,2:128386380
rs7694118-<b>C</b>,"6 x 10-6","(Genotype model)",0.663,1.3,'-,[0.85-1.99],"PCDH10, R3HDM2P1","Yu-Zhi constitution type in type 2 diabetes","Yu-Zhi constitution type, type II diabetes mellitus",GCST003026,4:133147480
rs716316-<b>?</b>,"8 x 10-6",,NR,'-,"0.129 unit increase",[0.074-0.184],"MACROD2-AS1, MACROD2","Advanced glycation end-product levels","advanced glycation end-product measurement, type II diabetes mellitus",GCST003457,20:14928095
rs17054480-<b>?</b>,"8 x 10-7",,NR,'-,"0.312 unit decrease",[0.19-0.43],PALLD,"Advanced glycation end-product levels","advanced glycation end-product measurement, type II diabetes mellitus",GCST003457,4:168687639
rs11159086-<b>?</b>,"3 x 10-6",,NR,'-,"0.18 unit decrease",[0.11-0.25],ISCA2,"Advanced glycation end-product levels","advanced glycation end-product measurement, type II diabetes mellitus",GCST003457,14:74495572
rs4454866-<b>?</b>,"5 x 10-6",,NR,'-,"0.281 unit increase",[0.16-0.4],'-,"Advanced glycation end-product levels","advanced glycation end-product measurement, type II diabetes mellitus",GCST003457,14:40207714
rs6795197-<b>?</b>,"8 x 10-6",,NR,'-,"0.131 unit decrease",[0.074-0.188],"PXYLP1, ZBTB38","Advanced glycation end-product levels","advanced glycation end-product measurement, type II diabetes mellitus",GCST003457,3:141328230
rs76703216-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,'-,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,10:9470063
rs646123-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,MLX,"Type 2 diabetes (time to event)","age at diagnosis, type II diabetes mellitus",GCST010766,17:42568614
rs146886108-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,ANKH,"Type 2 diabetes (time to event)","age at diagnosis, type II diabetes mellitus",GCST010766,5:14751196
rs3810291-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,ZC3H4,"Type 2 diabetes (time to event)","age at diagnosis, type II diabetes mellitus",GCST010766,19:47065746
rs2477088-<b>T</b>,"6 x 10-10",,0.32,2.5,'-,[1.87-3.34],PDE4DIP,"Macrovascular complications in type 2 diabetes","vascular disease, type II diabetes mellitus",GCST011161,1:148948136
rs522521-<b>A</b>,"7 x 10-10",,0.6,0.42,'-,[17.32-0.56],"LINC02087, SPECC1P1","Macrovascular complications in type 2 diabetes","vascular disease, type II diabetes mellitus",GCST011161,17:15830231
rs4852954-<b>T</b>,"1 x 10-8",,0.31,2.27,'-,[2.71-3.01],ALMS1P1,"Macrovascular complications in type 2 diabetes","vascular disease, type II diabetes mellitus",GCST011161,2:73642883
rs6032-<b>T</b>,"3 x 10-8",,0.37,2.12,'-,[1.63-2.77],F5,"Macrovascular complications in type 2 diabetes","vascular disease, type II diabetes mellitus",GCST011161,1:169542317
rs6935464-<b>A</b>,"4 x 10-8",,0.26,2.25,'-,[6.69-3.01],RPS6KA2,"Macrovascular complications in type 2 diabetes","vascular disease, type II diabetes mellitus",GCST011161,6:166700720
rs7236163-<b>T</b>,"5 x 10-8",,0.27,2.14,'-,[18.63-2.82],"FRG2LP, NF1P5","Macrovascular complications in type 2 diabetes","vascular disease, type II diabetes mellitus",GCST011161,18:14150725
rs3095447-<b>A</b>,"5 x 10-8",,0.37,2.16,'-,[7.64-2.84],CCDC146,"Macrovascular complications in type 2 diabetes","vascular disease, type II diabetes mellitus",GCST011161,7:77135653
rs3095447-<b>A</b>,"3 x 10-8",,0.4,2.18,'-,[1.66-2.87],CCDC146,"Ophthalmic complications in type 2 diabetes","type II diabetes mellitus, diabetic eye disease",GCST011160,7:77135653
rs2233580-<b>A</b>,"2 x 10-10",,0.07,1.48,'-,[1.31-1.67],PAX4,"Type 2 diabetes","type II diabetes mellitus",GCST010436,7:127613496
rs2206734-<b>A</b>,"2 x 10-10",,0.46,1.25,'-,[1.17-1.34],CDKAL1,"Type 2 diabetes","type II diabetes mellitus",GCST010436,6:20694653
rs2237895-<b>C</b>,"4 x 10-9",,0.31,1.25,'-,[1.16=1.34],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST010436,11:2835964
rs11960799-<b>?</b>,"1 x 10-7",,0.65,1.2195122,'-,[1.14-1.32],MARCHF3,"Type 2 diabetes","type II diabetes mellitus",GCST010436,5:127020350
rs75680863-<b>?</b>,"2 x 10-7",,0.65,1.5873016,'-,[1.35-1.96],TCN2,"Type 2 diabetes","type II diabetes mellitus",GCST010436,22:30611036
rs2237892-<b>?</b>,"5 x 10-7",,0.62,1.2048193,'-,[1.12-1.3],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST010436,11:2818521
rs10965250-<b>?</b>,"7 x 10-7",,0.57,1.1904762,'-,[1.11-1.41],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST010436,9:22133285
rs2074356-<b>T</b>,"1 x 10-16",(1-hPG),'-,'-,"0.321 mmol-1 decrease",[0.24-0.40],HECTD4,"Glycemic traits","type II diabetes mellitus",GCST001965,12:112207597
rs1799884-<b>A</b>,"3 x 10-10",(2-hPG),'-,'-,"0.162 mmol-1 increase",[0.11-0.21],GCK,"Glycemic traits","type II diabetes mellitus",GCST001965,7:44189469
rs2074356-<b>T</b>,"6 x 10-9",(2-hPG),'-,'-,"0.165 mmol-1 decrease",[0.11-0.22],HECTD4,"Glycemic traits","type II diabetes mellitus",GCST001965,12:112207597
rs11066453-<b>G</b>,"5 x 10-9",(1-hPG),'-,'-,"0.242 mmol-1 decrease",[0.16-0.32],OAS1,"Glycemic traits","type II diabetes mellitus",GCST001965,12:112927816
rs1799884-<b>A</b>,"5 x 10-18",(FPG),'-,'-,"0.063 mmol-1 increase",[0.049-0.077],GCK,"Glycemic traits","type II diabetes mellitus",GCST001965,7:44189469
rs10830962-<b>C</b>,"5 x 10-13",(FPG),'-,'-,"0.041 mmol-1 increase",[0.029-0.053],"MTNR1B, SNRPGP16","Glycemic traits","type II diabetes mellitus",GCST001965,11:92965261
rs2074356-<b>T</b>,"6 x 10-14",(FPG),'-,'-,"0.061 mmol-1 decrease",[0.045-0.077],HECTD4,"Glycemic traits","type II diabetes mellitus",GCST001965,12:112207597
rs9348440-<b>A</b>,"3 x 10-19",(1-hPG),'-,'-,"0.246 mmol-1 increase",[0.19-0.30],CDKAL1,"Glycemic traits","type II diabetes mellitus",GCST001965,6:20641105
rs1799884-<b>A</b>,"3 x 10-9",(1-hPG),'-,'-,"0.208 mmol-1 increase",[0.14-0.28],GCK,"Glycemic traits","type II diabetes mellitus",GCST001965,7:44189469
rs10830962-<b>C</b>,"3 x 10-12",(1-hPG),'-,'-,"0.191 mmol-1 increase",[0.14-0.24],"MTNR1B, SNRPGP16","Glycemic traits","type II diabetes mellitus",GCST001965,11:92965261
rs12229654-<b>G</b>,"9 x 10-13",(1-hPG),'-,'-,"0.277 mmol-1 decrease",[0.20-0.35],"CUX2, LINC01405","Glycemic traits","type II diabetes mellitus",GCST001965,12:110976657
rs7766070-<b>A</b>,"9 x 10-9",,0.29,1.38,'-,[1.24-1.54],CDKAL1,"Type 2 diabetes","type II diabetes mellitus",GCST002718,6:20686342
rs1873747-<b>T</b>,"4 x 10-6",,0.13,1.41,'-,[1.22-1.63],ROR2,"Type 2 diabetes","type II diabetes mellitus",GCST002718,9:91633578
rs34872471-<b>C</b>,"8 x 10-8",,0.40,1.32,'-,[1.19-1.46],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST002718,10:112994312
rs275856-<b>T</b>,"1 x 10-6",,0.11,1.51,'-,[1.28-1.77],OSBPL1A,"Type 2 diabetes","type II diabetes mellitus",GCST002718,18:24259188
rs73954691-<b>G</b>,"3 x 10-6",,0.98,2.6,'-,[1.74-3.88],LIMS2,"Type 2 diabetes","type II diabetes mellitus",GCST002718,2:127663671
rs35209784-<b>T</b>,"5 x 10-6",,0.01,3.57,'-,[1.92-6.25],DAAM1,"Type 2 diabetes","type II diabetes mellitus",GCST002718,14:59285112
rs34669198-<b>?</b>,"1 x 10-6",,NR,'-,"0.3 unit increase",[0.18-0.42],SRBD1,"Type 2 diabetes","type II diabetes mellitus",GCST002806,2:45521138
rs75260059-<b>?</b>,"9 x 10-7",,NR,'-,"0.34 unit increase",[0.20-0.48],"FTCDNL1, LINC01877","Type 2 diabetes","type II diabetes mellitus",GCST002806,2:199751534
rs12496230-<b>?</b>,"4 x 10-6",,NR,'-,"0.54 unit increase",[0.30-0.78],'-,"Type 2 diabetes","type II diabetes mellitus",GCST002806,3:66779484
rs138306797-<b>?</b>,"3 x 10-6",,NR,'-,"0.78 unit increase",[0.47-1.09],"IGF2BP2, TRA2B","Type 2 diabetes","type II diabetes mellitus",GCST002806,3:185827931
rs149049329-<b>?</b>,"2 x 10-6",,NR,'-,"0.71 unit increase",[0.42-1.00],LINC01991,"Type 2 diabetes","type II diabetes mellitus",GCST002806,3:187880139
rs11454281-<b>?</b>,"9 x 10-6",,NR,'-,"0.6 unit increase",[0.33-0.87],LGMNP1,"Type 2 diabetes","type II diabetes mellitus",GCST002806,13:64920645
rs149358103-<b>?</b>,"5 x 10-6",,NR,'-,"0.58 unit increase",[0.33-0.83],"LINC02541, RPS27AP11","Type 2 diabetes","type II diabetes mellitus",GCST002806,6:113586847
rs9478961-<b>?</b>,"2 x 10-7",,NR,'-,"0.44 unit increase",[0.28-0.60],"MTHFD1L, RNU6-300P","Type 2 diabetes","type II diabetes mellitus",GCST002806,6:151135457
rs7978895-<b>?</b>,"9 x 10-6",,NR,'-,"0.14 unit increase",[0.081-0.199],LINC02461,"Type 2 diabetes","type II diabetes mellitus",GCST002806,12:43176712
rs79490558-<b>?</b>,"1 x 10-6",,NR,'-,"0.31 unit increase",[0.17-0.45],"GTF2F2, TPT1","Type 2 diabetes","type II diabetes mellitus",GCST002806,13:45312051
rs78319313-<b>?</b>,"3 x 10-6",,NR,'-,"0.49 unit increase",[0.27-0.71],LINC00348,"Type 2 diabetes","type II diabetes mellitus",GCST002806,13:71021178
rs6506284-<b>?</b>,"3 x 10-6",,NR,'-,"0.32 unit increase",[0.18-0.46],"LINC01892, PPIAP14","Type 2 diabetes","type II diabetes mellitus",GCST002806,18:5030024
rs138128600-<b>?</b>,"2 x 10-7",,NR,'-,"0.53 unit increase",[0.33-0.73],"RNU4-10P, RNU6-66P","Type 2 diabetes","type II diabetes mellitus",GCST002806,13:73190488
rs189178161-<b>?</b>,"8 x 10-6",,NR,'-,"0.64 unit increase",[0.37-0.91],"CPPED1, SNX29","Type 2 diabetes","type II diabetes mellitus",GCST002806,16:12624996
rs13036344-<b>?</b>,"9 x 10-6",,NR,'-,"0.2 unit increase",[0.12-0.28],COMMD7,"Type 2 diabetes","type II diabetes mellitus",GCST002806,20:32725930
rs11240074-<b>?</b>,"6 x 10-6",,NR,'-,"0.21 unit increase",[0.11-0.31],"BCL9, LINC00624","Type 2 diabetes","type II diabetes mellitus",GCST002806,1:147524657
rs4703911-<b>?</b>,"7 x 10-6",,NR,'-,"0.22 unit increase",[0.12-0.32],RPL5P16,"Type 2 diabetes","type II diabetes mellitus",GCST002806,5:82717035
rs2055942-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,GABRA4,"Type 2 diabetes","type II diabetes mellitus",GCST002123,4:46966033
rs649891-<b>C</b>,"6 x 10-6",,0.35,'-,'-,'-,PTPRD,"Type 2 diabetes","type II diabetes mellitus",GCST001092,9:10430602
rs3792615-<b>T</b>,"9 x 10-6",(Indian),0.95,1.93,'-,[1.45-2.59],MARCHF1,"Type 2 diabetes","type II diabetes mellitus",GCST001033,4:163611649
rs12027542-<b>A</b>,"4 x 10-7",(Malay),0.61,1.41,'-,[1.23-1.61],PCNX2,"Type 2 diabetes","type II diabetes mellitus",GCST001033,1:233204408
rs10460009-<b>C</b>,"9 x 10-6",(Malay),0.60,1.35,'-,[1.18-1.54],LPIN2,"Type 2 diabetes","type II diabetes mellitus",GCST001033,18:2948031
rs9295474-<b>G</b>,"9 x 10-6",(Chinese+Malay+Indian),0.36,1.16,'-,[1.09-1.24],CDKAL1,"Type 2 diabetes","type II diabetes mellitus",GCST001033,6:20652486
rs11677370-<b>T</b>,"3 x 10-6",(Indian),0.40,1.35,'-,[1.19-1.53],DCDC2C,"Type 2 diabetes","type II diabetes mellitus",GCST001033,2:3793830
rs7119-<b>T</b>,"5 x 10-7",(Chinese+Malay+Indian),0.19,1.24,'-,[1.14-1.34],HMG20A,"Type 2 diabetes","type II diabetes mellitus",GCST001033,15:77485290
rs2833610-<b>A</b>,"4 x 10-6",(Chinese+Malay+Indian),0.57,1.17,'-,[1.09-1.24],HUNK,"Type 2 diabetes","type II diabetes mellitus",GCST001033,21:32012873
rs6583826-<b>G</b>,"7 x 10-6",(Chinese+Malay+Indian),0.26,1.18,'-,[1.10-1.27],KIF11,"Type 2 diabetes","type II diabetes mellitus",GCST001033,10:92588073
rs7630877-<b>A</b>,"7 x 10-6",(Chinese),0.17,1.32,'-,[1.17-1.49],PEX5L,"Type 2 diabetes","type II diabetes mellitus",GCST001033,3:179943530
rs17045328-<b>G</b>,"7 x 10-6",(Malay),0.30,1.38,'-,[1.20-1.59],CR2,"Type 2 diabetes","type II diabetes mellitus",GCST001033,1:207478831
rs1048886-<b>G</b>,"3 x 10-8",(Indian),0.18,1.54,'-,[1.32-1.80],SDHAF4,"Type 2 diabetes","type II diabetes mellitus",GCST001033,6:70579486
rs642858-<b>A</b>,"2 x 10-6",(Indian),0.40,1.35,'-,[1.19-1.53],FILNC1,"Type 2 diabetes","type II diabetes mellitus",GCST001033,6:139952510
rs7636-<b>A</b>,"5 x 10-6",(Indian),0.06,1.85,'-,[1.42-2.41],ACHE,"Type 2 diabetes","type II diabetes mellitus",GCST001033,7:100892456
rs10741243-<b>G</b>,"5 x 10-6",(Indian),0.93,1.75,'-,[1.38-2.23],TCERG1L,"Type 2 diabetes","type II diabetes mellitus",GCST001033,10:131149699
rs2063640-<b>A</b>,"3 x 10-6",(Chinese+Malay+Indian),0.17,1.23,'-,[1.13-1.34],ZPLD1,"Type 2 diabetes","type II diabetes mellitus",GCST001033,3:102484201
rs472265-<b>G</b>,"9 x 10-6",(Indian),0.22,1.39,'-,[1.20-1.61],ACP7,"Type 2 diabetes","type II diabetes mellitus",GCST001033,19:39090097
rs3773506-<b>C</b>,"9 x 10-6",(Indian),0.06,1.81,'-,[1.39-2.35],PLS1,"Type 2 diabetes","type II diabetes mellitus",GCST001033,3:142712158
rs4712523-<b>G</b>,"7 x 10-20",,0.41,1.27,'-,[1.21-1.33],CDKAL1,"Type 2 diabetes","type II diabetes mellitus",GCST000383,6:20657333
rs2383208-<b>A</b>,"2 x 10-29",,0.55,1.34,'-,[1.27-1.41],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST000383,9:22132077
rs2237892-<b>C</b>,"1 x 10-26",,0.59,1.33,'-,[1.27-1.41],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST000383,11:2818521
rs13266634-<b>C</b>,"2 x 10-14",,0.57,1.22,'-,[1.16-1.28],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST000383,8:117172544
rs1111875-<b>C</b>,"7 x 10-12",,0.28,1.21,'-,[1.15-1.28],"HHEX, Y_RNA","Type 2 diabetes","type II diabetes mellitus",GCST000383,10:92703125
rs7903146-<b>T</b>,"8 x 10-12",,0.04,1.54,'-,[1.36-1.74],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST000383,10:112998590
rs4402960-<b>T</b>,"1 x 10-6",,0.31,1.14,'-,[1.08-1.21],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST000383,3:185793899
rs7903146-<b>A</b>,"7 x 10-7",(T2D),0.30,1.33,'-,[1.19-1.49],TCF7L2,"Metabolic syndrome","type II diabetes mellitus, metabolic syndrome",GCST000753,10:112998590
rs531676-<b>?</b>,"9 x 10-6",(T2D),0.45,'-,'-,'-,CRTAC1,"Metabolic syndrome","type II diabetes mellitus, metabolic syndrome",GCST000753,10:97877821
rs7018475-<b>?</b>,"3 x 10-8",,NR,1.35,'-,[1.18-1.56],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST001397,9:22137686
rs17584499-<b>T</b>,"9 x 10-10",,0.06,1.57,'-,[1.36-1.82],PTPRD,"Type 2 diabetes","type II diabetes mellitus",GCST000601,9:8879118
rs2237895-<b>C</b>,"1 x 10-9",,0.33,1.29,'-,[1.19-1.40],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST000601,11:2835964
rs391300-<b>G</b>,"3 x 10-9",,0.62,1.28,'-,[1.18-1.39],SRR,"Type 2 diabetes","type II diabetes mellitus",GCST000601,17:2312964
